City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
508,callao,-12.0667,-77.15,21.16,73,75,5.14,PE,1689466881
509,watford city,47.8022,-103.2832,23.03,40,0,6.17,US,1689467178
510,tingo maria,-9.2895,-76.0088,22.09,90,75,0.82,PE,1689467178
511,severo-yeniseyskiy,60.3725,93.0408,10.48,95,100,2.81,RU,1689467179
512,massawa,15.6097,39.45,31.42,71,20,2.19,ER,1689467179
513,velikiy ustyug,60.7644,46.3106,12.99,96,100,2.27,RU,1689467180
514,sinop,41.7711,34.8709,16.11,89,0,0.93,TR,1689467180
515,charters towers,-20.1,146.2667,20.42,57,69,8.32,AU,1689467181
516,suva,-18.1416,178.4415,21.71,94,100,2.57,FJ,1689467181
517,knyaze-volkonskoye,48.4642,135.4567,19.19,64,100,4.38,RU,1689467181
518,hobyo,5.3505,48.5268,24.88,81,73,11.11,SO,1689467182
519,sorgun,39.8101,35.186,14.96,92,6,2.74,TR,1689467182
520,gizo,-8.103,156.8419,26.97,87,100,7.32,SB,1689467182
521,copiapo,-27.3667,-70.3333,15.77,54,0,0.41,CL,1689467117
522,sao tome,0.3365,6.7273,24.3,84,45,3.44,ST,1689467183
523,zemio,5.0314,25.1361,20.09,98,86,2.7,CF,1689467183
524,san matias,-16.3667,-58.4,22.36,50,34,1.75,BO,1689467184
525,revda,56.801,59.9303,11.31,96,100,1.27,RU,1689467184
526,bodo,67.28,14.405,13.02,79,0,7.72,NO,1689467184
527,kani keli,-12.9536,45.1033,24.59,70,0,8.53,YT,1689467185
528,katsuura,35.1333,140.3,27.07,81,100,9.61,JP,1689467185
529,la libertad,-2.2333,-80.9,25.0,82,22,4.31,EC,1689467186
530,tabou,4.423,-7.3528,24.39,88,20,2.82,CI,1689467186
531,daru,-9.0763,143.2092,26.21,72,79,5.79,PG,1689467186
532,beau vallon,-20.4189,57.6953,23.13,83,75,3.6,MU,1689467187
533,portland,45.5234,-122.6762,37.01,28,40,7.2,US,1689466799
534,georgetown,5.4112,100.3354,29.02,92,20,2.24,MY,1689467043
535,tshabong,-26.05,22.45,11.68,40,1,4.15,BW,1689467188
536,puerto deseado,-47.7503,-65.8938,3.46,92,75,10.59,AR,1689467188
